""" Высшее образование (экономика) Опыт работы не менее 5 лет Навыки работы в 1C ERP / УПП Уверенный пользователь ПК  """
"""Отличное знание EXCEL. Умение анализировать и систематизировать статистические данные. Знание финансовых показателей деятельности компании. Знание 1С 8.2, 8.3. """
""" владение английским языком на разговорном уровне; релевантный опыт работы; владение пакетом MS Office.  """
""" Опыт работы не менее 3-х лет, Практическое знание основ бухгалтерского учета; Необходимо иметь понятие о 275-ФЗ, методику распределения затрат, особенности процесса ценообразования и оформления документов при выполнении ГОЗ. Знание 1С 8.3 Внимательность при работе с документами, умение работать с большим объемом информации; Целеустремленность, ответственность.  """
""" Уверенный пользователь ПК: MS оffice; Word, Excel, 1С; Опыт работы на аналогичной должности не менее 2-х лет; Ответственность, организованность, исполнительность, внимательность, аккуратность; Высшее образование; Знание основ управленческого, бухгалтерского учета. "" "
" ""Высшее экономическое образование. Опыт работы по специальности от 3-х лет (желательно, на производственном предприятии). Основы экономики, бюджетирования, анализа. Ценообразование. знание основ бухгалтерского и управленческого учета, налогообложения. Знание методов экономического анализа и учета показателей деятельности предприятия Английский язык (уровень не ниже intermediate) Уверенный пользователь microsoft office excel Знание 1С    """
""" Высшее экономическое образование Опыт работы от 3-6 лет Хорошее знание 1С Опыт постановки управленческого учета и системы бюджетирования,  """
" ""Высшее экономическое образование; Аналогичный опыт работы от 3-х лет; Опытный пользователь ПК, в т.ч. знание программных продуктов на базе 1С: Предприятие и основ бухгалтерского учёта обязательно; Знание особенностей первичной документации в строительстве, опыт работы в строительстве; Опыт постановки сдельной системы оплаты труда приветствуется; Аналитический склад ума; Умение работать с большим объёмом информации в режиме многозадачности.  """
"""Уверенный пользователь 1С 8.2 УТ (в том числе 1С Бухгалтерия), 1С 11.2 и Excel Опыт предоставления отчетности для кредитных учреждений, навык планирования и анализа бюджетов. Опыт работы с банковскими гарантиями. Опыт построения управленческой отчётности. Личные качества: Коммуникабельность, стрессоустойчивость, требовательность, умение работать в режиме многозадачности, ответственность, внимательность, исполнительность, аккуратность, самоорганизованность, высокая скорость работы, умение быстро адаптироваться на новом месте работы. Активная жизненная позиция! ГОТОВНОСТЬ И ЖЕЛАНИЕ РАЗОБРАТЬСЯ В ТОЙ СИСТЕМЕ, КОТОРАЯ ЕСТЬ, УЛУЧШИТЬ ЕЁ ЛИБО ВЫСТРОИТЬ НА СВОЁ УСМОТРЕНИЕ. На собеседовании будет необходимо решить несколько задач. """
"""- высшее образование в сфере экономики; - отличные знания в области экономики предприятия; - внимательность, аналитический склад ума, организованность; - желание профессионально развиваться, стремление к порядку и анализу; - способность самостоятельно орг"""
""" Опыт работы на руководящей должности в Бэк-офисе проф. участника; Высшее образование (экономическое, юридическое или техническое); Опыт учета брокерских операций и операций индивидуального ДУ; Наличие профессиональных аттестатов: ФСФР 1.0; ФСФР 4.0; Ответственность, работоспособность;    """
"""Опыт работы на руководящей должности в Бэк-офисе проф. участника; Высшее образование (экономическое, юридическое или техническое); Опыт учета брокерских операций и операций индивидуального ДУ; Наличие профессиональных аттестатов: ФСФР 1.0; ФСФР 4.0; Ответственность, работоспособность;    """
"""- Высшее (экономическое) образование - Навык работы в 1С, опытный пользователь Word, Excel (таблицы, расчеты) - Знания и практические навыки в области ведения управленческого учета   """
""" Уверенный пользователь ПК: MS Word, Excel, 1С Бух. 8.3. КОРП, Консультант плюс, СБИС, Гранд Смета 7.0. Опыт работы в строительных и подрядных организациях обязателен  """
"""Высшее экономическое или техническое образование Знание основ бухгалтерского учета и опыт работы в 1С в части формирования отчетов, Аналитический склад ума Коммуникабельность: взаимодействие со смежными отделами организации и представителями заказчика Продвинутый уровень владения ПК: поиск информации в интернете, оформление отчетов в MS Word, проведение расчетов и анализ данных в MS Excel. Опыт работы от 2 лет в производственной и/или торговой компании, опыт работы в планово-экономическом отделе желателен Личные качества: Коммуникабельность, организованность, готовность эффективно работать в условиях многозадачности """
